commodity_code,description,duty_pct
03025500,Verse of gekoelde vis,7.5
03025600,Verse of gekoelde vis,7.5
03025910,Verse of gekoelde vis,12.0
03025920,Verse of gekoelde vis,7.5
03025930,Verse of gekoelde vis,7.5
03025940,Verse of gekoelde vis,7.5
03025990,Verse of gekoelde vis,15.0
03027100,Verse of gekoelde vis,8.0
03027200,Verse of gekoelde vis,8.0
03027300,Verse of gekoelde vis,8.0
03027400,Verse of gekoelde vis,0.0
03027900,Verse of gekoelde vis,8.0
03028115,Verse of gekoelde vis,6.0
03028130,Verse of gekoelde vis,8.0
03028140,Verse of gekoelde vis,8.0
03028150,Verse of gekoelde vis,8.0
03028170,Verse of gekoelde vis,8.0
03028200,Verse of gekoelde vis,15.0
03028300,Verse of gekoelde vis,15.0
03028410,Verse of gekoelde vis,15.0
03028490,Verse of gekoelde vis,15.0
03028510,Verse of gekoelde vis,15.0
03028530,Verse of gekoelde vis,15.0
03028590,Verse of gekoelde vis,15.0
03028910,Verse of gekoelde vis,8.0
03028921,Verse of gekoelde vis,0.0
03028929,Verse of gekoelde vis,22.0
03028931,Verse of gekoelde vis,7.5
03028939,Verse of gekoelde vis,7.5
03028940,Verse of gekoelde vis,15.0
03028950,Verse of gekoelde vis,15.0
03028960,Verse of gekoelde vis,7.5
03028990,Verse of gekoelde vis,15.0
03029100,Verse of gekoelde vis,10.0
03029200,Verse of gekoelde vis,8.0
03029900,Verse of gekoelde vis,10.0
03031100,Bevroren vis,2.0
03031200,Bevroren vis,2.0
03031300,Bevroren vis,2.0
03031410,Bevroren vis,9.0
03031420,Bevroren vis,12.0
03031490,Bevroren vis,12.0
03031900,Bevroren vis,9.0
03032300,Bevroren vis,8.0
03032400,Bevroren vis,8.0
03032500,Bevroren vis,8.0
03032600,Bevroren vis,0.0
03032900,Bevroren vis,8.0
03033110,Bevroren vis,7.5
03033130,Bevroren vis,7.5
03033190,Bevroren vis,15.0
03033200,Bevroren vis,15.0
03033300,Bevroren vis,7.5
03033400,Bevroren vis,15.0
03033910,Bevroren vis,7.5
03033930,Bevroren vis,7.5
03033950,Bevroren vis,7.5
03033985,Bevroren vis,15.0
03034110,Bevroren vis,0.0
03034190,Bevroren vis,22.0
03034220,Bevroren vis,0.0
03034290,Bevroren vis,22.0
03034310,Bevroren vis,0.0
03034390,Bevroren vis,22.0
03034410,Bevroren vis,0.0
03034490,Bevroren vis,22.0
03034512,Bevroren vis,0.0
03034518,Bevroren vis,22.0
03034591,Bevroren vis,0.0
03034599,Bevroren vis,22.0
03034610,Bevroren vis,0.0
03034690,Bevroren vis,22.0
03034920,Bevroren vis,0.0
03034985,Bevroren vis,22.0
03035100,Bevroren vis,15.0
03035310,Bevroren vis,23.0
03035330,Bevroren vis,15.0
03035390,Bevroren vis,13.0
03035410,Bevroren vis,20.0
03035490,Bevroren vis,15.0
03035510,Bevroren vis,15.0
03035530,Bevroren vis,15.0
03035590,Bevroren vis,15.0
03035600,Bevroren vis,15.0
03035700,Bevroren vis,7.5
03035910,Bevroren vis,15.0
03035921,Bevroren vis,0.0
03035929,Bevroren vis,22.0
03035990,Bevroren vis,15.0
03036310,Bevroren vis,12.0
03036330,Bevroren vis,12.0
03036390,Bevroren vis,12.0
03036400,Bevroren vis,7.5
03036500,Bevroren vis,7.5
03036611,Bevroren vis,15.0
03036612,Bevroren vis,15.0
03036613,Bevroren vis,15.0
03036619,Bevroren vis,15.0
03036690,Bevroren vis,15.0
03036700,Bevroren vis,15.0
03036810,Bevroren vis,7.5
03036890,Bevroren vis,7.5
03036910,Bevroren vis,12.0
03036930,Bevroren vis,7.5
03036950,Bevroren vis,15.0
03036970,Bevroren vis,7.5
03036980,Bevroren vis,7.5
03036990,Bevroren vis,15.0
03038115,Bevroren vis,6.0
03038130,Bevroren vis,8.0
03038140,Bevroren vis,8.0
03038150,Bevroren vis,8.0
03038180,Bevroren vis,8.0
03038200,Bevroren vis,15.0
03038300,Bevroren vis,15.0
03038410,Bevroren vis,15.0
03038490,Bevroren vis,15.0
03038910,Bevroren vis,8.0
03038921,Bevroren vis,0.0
03038929,Bevroren vis,22.0
03038931,Bevroren vis,7.5
